onset	duration	valence	arousal	flubber_frequency	flubber_amplitude
505998.28118391277	n/a				1.0
505998.29238277586	n/a				1.0
505998.3035137416	n/a				1.0
505998.31470650487	n/a				1.0
505998.32561997906	n/a				1.0
505998.33677284396	n/a				1.0
505998.34794850793	n/a				1.0
505998.35897957755	n/a				1.0
505998.37018964015	n/a				1.0
505998.3811682118	n/a				1.0
505998.3923083772	n/a				1.0
505998.40347114165	n/a				1.0
505998.4145532093	n/a				1.0
505998.42558057903	n/a				1.0
505998.4367328439	n/a				1.0
505998.44784951024	n/a				1.0
505998.4590984713	n/a				1.0
505998.47009814216	n/a				1.0
505998.4811258119	n/a				1.0
505998.49225587765	n/a				1.0
505998.5033737439	n/a				1.0
505998.51458030666	n/a				1.0
505998.52564257506	n/a				1.0
505998.53671214316	n/a				1.0
505998.54780511034	n/a				1.0
505998.5588117809	n/a				1.0
505998.5700180437	n/a				1.0
505998.5814075993	n/a				1.0
505998.59221737756	n/a				1.0
505998.60334984324	n/a				1.0
505998.61448060896	n/a				1.0
505998.6254930793	n/a				1.0
505998.63664614415	n/a				1.0
505998.6478070087	n/a				1.0
505998.6589399744	n/a				1.0
505998.6700113424	n/a				1.0
505998.68113990815	n/a				1.0
505998.69220617646	n/a				1.0
505998.7033109432	n/a				1.0
505998.7144544084	n/a				1.0
505998.72562027274	n/a				1.0
505998.7366410428	n/a				1.0
505998.7476711125	n/a				1.0
505998.7587593798	n/a				1.0
505998.7700896378	n/a				1.0
505998.7810252111	n/a				1.0
505998.7920687803	n/a				1.0
505998.8032730431	n/a				1.0
505998.81434931094	n/a				1.0
505998.82537838066	n/a				1.0
505998.836620042	n/a				1.0
505998.847641512	n/a				1.0
505998.85871537996	n/a				1.0
505998.8698828443	n/a				1.0
505998.88106660795	n/a				1.0
505998.8924849624	n/a				1.0
505998.9032257434	n/a				1.0
505998.91437220847	n/a				1.0
505998.925405178	n/a				1.0
505998.9367495354	n/a				1.0
505998.9476991082	n/a				1.0
505998.9586395814	n/a				1.0
505998.96993584064	n/a				1.0
505998.9810013089	n/a				1.0
505998.9920124793	n/a				1.0
505999.00360192714	n/a				1.0
505999.01428391034	n/a				1.0
505999.0252781814	n/a				1.0
505999.036437346	n/a				1.0
505999.0476507085	n/a				1.0
505999.05870057736	n/a				1.0
505999.0698579421	n/a				1.0
505999.08094730944	n/a				1.0
505999.0920881748	n/a				1.0
505999.1030631466	n/a				1.0
505999.11422861094	n/a				1.0
505999.1251889833	n/a				1.0
505999.1364784428	n/a				1.0
505999.14763860736	n/a				1.0
505999.1587114754	n/a				1.0
505999.16975144466	n/a				1.0
505999.1807339162	n/a				1.0
505999.1920845733	n/a				1.0
505999.20313814207	n/a				1.0
505999.21408981475	n/a				1.0
505999.22518708184	n/a				1.0
505999.23643894284	n/a				1.0
505999.24746381264	n/a				1.0
505999.25851208164	n/a				1.0
505999.269752243	n/a				1.0
505999.28078211274	n/a				1.0
505999.2918200821	n/a				1.0
505999.30301304534	n/a				1.0
505999.31419080927	n/a				1.0
505999.3252877763	n/a				1.0
505999.3362429489	n/a				1.0
505999.34738631407	n/a				1.0
505999.35866977385	n/a				1.0
505999.3696542453	n/a				1.0
505999.38067291543	n/a				1.0
505999.3918136807	n/a				1.0
505999.4029375467	n/a				1.0
505999.4140461133	n/a				1.0
505999.4251489801	n/a				1.0
505999.43624454725	n/a				1.0
505999.4474217112	n/a				1.0
505999.4585362775	n/a				1.0
505999.4696371444	n/a				1.0
505999.4806570145	n/a				1.0
505999.4918151791	n/a				1.0
505999.5030303416	n/a				1.0
505999.51434929995	n/a				1.0
505999.5250810812	n/a				1.0
505999.5365910321	n/a				1.0
505999.54734751245	n/a				1.0
505999.558406781	n/a				1.0
505999.5695998443	n/a				1.0
505999.58070971083	n/a				1.0
